X,Y,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Meninggal,Month,Year,Month_Year,PROX_ATTRACTION,PROX_KINDERGARTENS,PROX_SCHOOL,PROX_TERMINAL,PROX_HEALTHCARE
-3626664.21580529,692955.032839618,25476,3173031005,MANGGA BESAR,317303,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,9198,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,832,14,Aug,2021,Aug_2021,0.499229476587663,0.633479015327667,1.56220584910798,21.1602706871116,21.1602706871116
-3635388.41376386,692698.72744195,25463,3173011005,KAPUK,317301,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,167523,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,6433,165,Aug,2021,Aug_2021,2.07718931874821,0.0974185962223566,2.08982699768845,12.4589216872619,12.4589216872619
-3637655.82598925,692662.371763791,25464,3173011006,CENGKARENG TIMUR,317301,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,100081,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,5963,106,Aug,2021,Aug_2021,1.55521934542687,0.750319640201998,0.77489578766577,10.2020643026175,10.2020643026175
-3631009.8448921,688955.7409577,25466,3173021002,TANJUNG DUREN UTARA,317302,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,20603,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,2002,33,Aug,2021,Aug_2021,1.57211397805751,0.269441848252578,0.659634644471769,17.4349776160303,17.4349776160303
-3630812.57867007,690790.760551461,25468,3173021004,JELAMBAR,317302,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,36680,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,3345,53,Aug,2021,Aug_2021,0.570958237197142,0.615716382941412,0.881528802582838,17.2327209308583,17.2327209308583
-3628488.82265994,692107.030153182,25484,3173041005,KRENDANG,317304,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KRENDANG,25192,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,1162,18,Aug,2021,Aug_2021,0.800928567551557,0.847360369399827,0.788632554732365,19.3834575340174,19.3834575340174
-3631407.18621463,684157.406294638,25492,3173051002,SUKABUMI UTARA,317305,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,47398,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,2835,45,Aug,2021,Aug_2021,0.776928671947736,1.29788024904672,1.59701442542254,18.9310377412225,18.9310377412225
-3632043.10610316,682589.622640359,25493,3173051003,SUKABUMI SELATAN,317305,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,46386,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,2133,31,Aug,2021,Aug_2021,1.13014900557241,0.468968652578233,1.48657561242516,19.2338399941078,19.2338399941078
-3632593.76612903,684007.956664201,25494,3173051004,KELAPA DUA,317305,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,28843,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,2186,33,Aug,2021,Aug_2021,0.391533639956105,1.07548879237978,1.71990252856408,17.9916558482505,17.9916558482505
-3632206.94132238,688468.614512418,25495,3173051005,DURI KEPA,317305,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,72834,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,4175,66,Aug,2021,Aug_2021,1.85120447417248,0.628216067251126,1.34394289456127,16.4298653217062,16.4298653217062
-3633936.69316112,689354.11419208,25496,3173051006,KEDOYA UTARA,317305,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,55356,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,3096,50,Aug,2021,Aug_2021,1.41536302174312,1.96571267750813,1.91425439159476,14.5131822230435,14.5131822230435
-3633948.8511238,687565.706798666,25497,3173051007,KEDOYA SELATAN,317305,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,39331,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,2428,49,Aug,2021,Aug_2021,2.66626635112333,1.65385747494619,2.27010337704125,15.1222887329358,15.1222887329358
-3641859.40866034,693386.461358568,25502,3173061005,PEGADUNGAN,317306,DKI JAKARTA,JAKARTA BARAT,KALIDERES,PEGADUNGAN,89881,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,4411,57,Aug,2021,Aug_2021,4.26659008280567,0.495125925187839,0.312044125647504,5.95907846107009,5.95907846107009
-3629930.72738034,685325.839478009,25503,3173071001,PALMERAH,317307,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,PALMERAH,77404,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,5441,114,Aug,2021,Aug_2021,1.34362470196156,1.15770663314587,0.99717236034062,19.7056065741081,19.7056065741081
-3628231.96396414,687245.807617208,25508,3173071006,KOTA BAMBU SELATAN,317307,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,KOTA BAMBU SELATAN,26713,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,1742,33,Aug,2021,Aug_2021,1.01347061952998,0.654257646573511,1.59830051839674,20.5880601890035,20.5880601890035
-3618980.95206938,683526.969765867,25596,3175031004,RAWA BUNGA,317503,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,26604,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,1318,16,Aug,2021,Aug_2021,0.6888479906132,0.585380866722886,0.94849428900012,30.5428454444624,30.5428454444624
-3636339.954742,688664.043926495,25509,3173081001,KEMBANGAN UTARA,317308,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,66547,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,3567,63,Aug,2021,Aug_2021,1.78656366577454,0.858436877821196,0.934979449231545,12.4916336828853,12.4916336828853
-3636648.11908334,685392.573721702,25510,3173081002,MERUYA UTARA,317308,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,53207,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,3767,55,Aug,2021,Aug_2021,1.09894854961436,0.095603420274692,4.04551441088497,13.8493960953322,13.8493960953322
-3634329.47410269,684172.041372524,25512,3173081004,SRENGSENG,317308,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,54909,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,3800,64,Aug,2021,Aug_2021,1.6169795116442,1.1546519393039,2.31394619030556,16.4537389843827,16.4537389843827
-3620179.57832158,681706.593817433,25518,3174011004,KEBON BARU,317401,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,43498,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,2655,56,Aug,2021,Aug_2021,2.19412629404394,0.20615052518778,0.757209561904598,30.0860609460457,30.0860609460457
-3622016.34327947,683384.844951489,25520,3174011006,MANGGARAI SELATAN,317401,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,28306,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,1967,39,Aug,2021,Aug_2021,1.27661370695037,1.52852653665445,0.767743156965298,27.7474280162344,27.7474280162344
-3625099.42830483,684816.694310245,25522,3174021001,SETIA BUDI,317402,DKI JAKARTA,JAKARTA SELATAN,SETIABUDI,SETIA BUDI,3632,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,637,6,Aug,2021,Aug_2021,0.165450716282649,1.0201505262558,1.51813527665564,24.3545269583496,24.3545269583496
-3626004.50155834,682780.229141707,25523,3174021002,KARET SEMANGGI,317402,DKI JAKARTA,JAKARTA SELATAN,SETIABUDI,KARET SEMANGGI,3275,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,404,6,Aug,2021,Aug_2021,0.528447463314001,1.3935560795271,1.44938891730436,24.346849158502,24.346849158502
-3624691.77551674,683150.065577883,25524,3174021003,KARET KUNINGAN,317402,DKI JAKARTA,JAKARTA SELATAN,SETIABUDI,KARET KUNINGAN,19490,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,2936,43,Aug,2021,Aug_2021,1.06980399698017,0.863999542629976,2.36044911273924,25.3749237201406,25.3749237201406
-3623280.91622409,683695.293383507,25526,3174021005,MENTENG ATAS,317402,DKI JAKARTA,JAKARTA SELATAN,SETIABUDI,MENTENG ATAS,34110,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,2569,49,Aug,2021,Aug_2021,0.452301142911958,0.419562805945879,1.62635425383055,26.4579766569012,26.4579766569012
-3623007.0752385,684567.336681459,25527,3174021006,PASAR MANGGIS,317402,DKI JAKARTA,JAKARTA SELATAN,SETIABUDI,PASAR MANGGIS,32972,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,1959,49,Aug,2021,Aug_2021,1.0838774759374,1.27510728575605,1.31813646021841,26.4011432426991,26.4011432426991
-3624140.76309545,684917.941135195,25528,3174021007,GUNTUR,317402,DKI JAKARTA,JAKARTA SELATAN,SETIABUDI,GUNTUR,4780,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,452,7,Aug,2021,Aug_2021,0.798550966942477,0.239006583511915,1.84789560299918,25.2159882309511,25.2159882309511
-3624410.56903321,681701.905683994,25529,3174021008,KUNINGAN TIMUR,317402,DKI JAKARTA,JAKARTA SELATAN,SETIABUDI,KUNINGAN TIMUR,7309,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,1652,8,Aug,2021,Aug_2021,2.02502417409407,0.762964253853545,1.98008845334869,26.2552209496378,26.2552209496378
-3624392.20206247,680228.898054919,25530,3174031001,MAMPANG PRAPATAN,317403,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,22650,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,2123,33,Aug,2021,Aug_2021,1.72174645055445,1.20364011095712,1.78257561633845,26.9707459801957,26.9707459801957
-3625592.76849579,677456.781184746,25531,3174031002,BANGKA,317403,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,26261,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,1911,27,Aug,2021,Aug_2021,1.37318108274832,1.79373038496382,3.38073124504604,27.4570446330336,27.4570446330336
-3624866.00625721,672855.104169925,25538,3174041004,RAGUNAN,317404,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,48260,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,3733,70,Aug,2021,Aug_2021,1.57852794804477,0.631741185746355,1.79403237278596,30.8825795236206,30.8825795236206
-3621487.80076633,675540.658917735,25539,3174041005,PEJATEN TIMUR,317404,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,71144,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,3734,91,Aug,2021,Aug_2021,1.09969018988968,1.29711367119623,1.52176120844163,31.9260873680663,31.9260873680663
-3623278.93818393,676331.148659027,25540,3174041006,PEJATEN BARAT,317404,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,45297,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,3411,53,Aug,2021,Aug_2021,1.48333611391104,0.871039075537429,2.08018052400134,29.9997618309699,29.9997618309699
-3623493.76016544,671480.645395562,25541,3174041007,KEBAGUSAN,317404,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,54249,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,3507,63,Aug,2021,Aug_2021,0.524726136900986,1.77171526742993,1.80380158789701,32.8210416669631,32.8210416669631
-3631034.96644953,679385.688878538,25542,3174051001,KEBAYORAN LAMA UTARA,317405,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,52421,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,2973,54,Aug,2021,Aug_2021,0.701172201608173,0.845382275012315,1.69846910570544,21.9522329445957,21.9522329445957
