"ID_KEL","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year"
"3175031005","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG CEMPEDAK",12,1,"May","2020","May_2020"
"3173031007","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","GLODOK",2,1,"May","2020","May_2020"
"3174071004","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","SELONG",3,0,"May","2020","May_2020"
"3172011001","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN",88,3,"May","2020","May_2020"
"3174071010","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","CIPETE UTARA",10,1,"May","2020","May_2020"
"3172031003","DKI JAKARTA","JAKARTA UTARA","KOJA","LAGOA",41,2,"May","2020","May_2020"
"3171011004","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO SELATAN",4,1,"May","2020","May_2020"
"3171071006","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON KACANG",95,4,"May","2020","May_2020"
"3173041005","DKI JAKARTA","JAKARTA BARAT","TAMBORA","KERENDANG",19,2,"May","2020","May_2020"
"3171081003","DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","GALUR",2,0,"May","2020","May_2020"
"3175091005","DKI JAKARTA","JAKARTA TIMUR","CIRACAS","RAMBUTAN",7,0,"May","2020","May_2020"
"3173031003","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MAPHAR",59,0,"May","2020","May_2020"
"3175041006","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","CILILITAN",14,0,"May","2020","May_2020"
"3175031007","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG BESAR SELATAN",11,1,"May","2020","May_2020"
"3171031006","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","CEMPAKA BARU",30,6,"May","2020","May_2020"
"3173041008","DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN LIMA",8,1,"May","2020","May_2020"
"3175041003","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","DUKUH",14,0,"May","2020","May_2020"
"3171011006","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","DURI PULO",3,0,"May","2020","May_2020"
"3172021003","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","PAPANGGO",6,1,"May","2020","May_2020"
"3172041007","DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER BARAT",23,0,"May","2020","May_2020"
"3172011003","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAPUK MUARA",15,2,"May","2020","May_2020"
"3175011002","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","UTAN KAYU UTARA",12,2,"May","2020","May_2020"
"3171051001","DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH TIMUR",47,1,"May","2020","May_2020"
"3171071003","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KARET TENGSIN",11,0,"May","2020","May_2020"
"3172041001","DKI JAKARTA","JAKARTA UTARA","CILINCING","CILINCING",19,0,"May","2020","May_2020"
"3172031006","DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK SELATAN",27,0,"May","2020","May_2020"
"3174011007","DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI",6,0,"May","2020","May_2020"
"3175101001","DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","CIPAYUNG",13,0,"May","2020","May_2020"
"3175101008","DKI JAKARTA","JAKARTA TIMUR","CIPAYUNG","CEGER",1,0,"May","2020","May_2020"
"3173031004","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TANGKI",10,1,"May","2020","May_2020"
"3172051001","DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR",21,1,"May","2020","May_2020"
"3172021007","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","WARAKAS",19,1,"May","2020","May_2020"
"3172031001","DKI JAKARTA","JAKARTA UTARA","KOJA","KOJA",6,0,"May","2020","May_2020"
"3175091004","DKI JAKARTA","JAKARTA TIMUR","CIRACAS","SUSUKAN",7,1,"May","2020","May_2020"
"3175051001","DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","GEDONG",18,0,"May","2020","May_2020"
"3175071006","DKI JAKARTA","JAKARTA TIMUR","DUREN SAWIT","MALAKA JAYA",16,0,"May","2020","May_2020"
"3174031001","DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","MAMPANG PRAPATAN",7,0,"May","2020","May_2020"
"3171021005","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN",15,0,"May","2020","May_2020"
"3175031004","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","RAWA BUNGA",8,0,"May","2020","May_2020"
"3173071006","DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU SELATAN",18,1,"May","2020","May_2020"
"3173061002","DKI JAKARTA","JAKARTA BARAT","KALI DERES","SEMANAN",9,1,"May","2020","May_2020"
"3171021003","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARTINI",18,1,"May","2020","May_2020"
"3175011004","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PAL MERIAM",30,4,"May","2020","May_2020"
"3173031001","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TAMAN SARI",8,2,"May","2020","May_2020"
"3173041007","DKI JAKARTA","JAKARTA BARAT","TAMBORA","ANGKE",16,0,"May","2020","May_2020"
"3174061004","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","GANDARIA SELATAN",4,1,"May","2020","May_2020"
"3171021002","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR",18,2,"May","2020","May_2020"
"3171061005","DKI JAKARTA","JAKARTA PUSAT","MENTENG","KEBON SIRIH",12,1,"May","2020","May_2020"
"3175091003","DKI JAKARTA","JAKARTA TIMUR","CIRACAS","KELAPA DUA WETAN",11,0,"May","2020","May_2020"
"3171041004","DKI JAKARTA","JAKARTA PUSAT","SENEN","KRAMAT",56,3,"May","2020","May_2020"
