"ID_KEL","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal"
"3173051005","DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","DURI KEPA",4196,72
"3173011002","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","DURI KOSAMBI",4790,78
"3171011006","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","DURI PULO",1459,29
"3173041011","DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI SELATAN",865,18
"3173041003","DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI UTARA",1287,24
"3171081003","DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","GALUR",1113,22
"3171011001","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","GAMBIR",1233,13
"3174061004","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","GANDARIA SELATAN",2045,32
"3174071009","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GANDARIA UTARA",3411,53
"3175051001","DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","GEDONG",3299,65
"3171071001","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","GELORA",520,7
"3173031007","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","GLODOK",806,18
"3171061004","DKI JAKARTA","JAKARTA PUSAT","MENTENG","GONDANGDIA",670,8
"3173021001","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","GROGOL",2312,41
"3174051005","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL SELATAN",2991,50
"3174051004","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL UTARA",3036,59
"3174021007","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","GUNTUR",454,7
"3174071002","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GUNUNG",2357,25
"3171031005","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","GUNUNG SAHARI SELATAN",1974,35
"3171021004","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA",1746,38
"3175081004","DKI JAKARTA","JAKARTA TIMUR","MAKASAR","HALIM PERDANA KUSUMAH",4187,51
"3171031003","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","HARAPAN MULIA",1946,40
"3174091001","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","JAGAKARSA",6607,100
"3175021007","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","JATI",2890,57
"3174041002","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","JATI PADANG",3422,59
"3173071004","DKI JAKARTA","JAKARTA BARAT","PALMERAH","JATI PULO",1769,49
"3175061001","DKI JAKARTA","JAKARTA TIMUR","CAKUNG","JATINEGARA",4144,73
"3175021004","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","JATINEGARA KAUM",1680,36
"3173021004","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR",3358,53
"3173021006","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR BARU",3224,40
"3173041006","DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN BESI",1557,27
"3173041008","DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN LIMA",1364,20
"3173081005","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","JOGLO",3566,41
"3171081001","DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","JOHAR BARU",3988,64
"3173041002","DKI JAKARTA","JAKARTA BARAT","TAMBORA","KALI ANYAR",1171,24
"3172041004","DKI JAKARTA","JAKARTA UTARA","CILINCING","KALI BARU",1747,48
"3174081002","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","KALIBATA",4024,77
"3173061001","DKI JAKARTA","JAKARTA BARAT","KALI DERES","KALIDERES",4741,84
"3175051004","DKI JAKARTA","JAKARTA TIMUR","PASAR REBO","KALISARI",4423,89
"3173061004","DKI JAKARTA","JAKARTA BARAT","KALI DERES","KAMAL",1615,39
"3172011002","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAMAL MUARA",951,9
"3171071007","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KAMPUNG BALI",730,17
"3175031001","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","KAMPUNG MELAYU",1494,18
"3171081002","DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","KAMPUNG RAWA",1474,29
"3175041002","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","KAMPUNG TENGAH",3437,74
"3173011005","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KAPUK",6515,169
"3172011003","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAPUK MUARA",2782,28
"3171021002","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR",1916,37
