X,Y,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Meninggal,Month,Year,Month_Year
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,1590,32,May,"2021",May_2021
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,2013,41,Jun,"2021",Jun_2021
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,2912,56,Jul,"2021",Jul_2021
-3620624.2519965,690303.155736008,25400,"3171031006",CEMPAKA BARU,317103,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,41913,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,3002,65,Aug,"2021",Aug_2021
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,2,0,Mar,"2020",Mar_2020
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,16,0,Apr,"2020",Apr_2020
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,23,0,May,"2020",May_2020
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,18,0,Jun,"2020",Jun_2020
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,26,0,Jul,"2020",Jul_2020
-3624360.52626085,690316.267361694,25390,"3171021001",PASAR BARU,317102,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15793,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,61,0,Aug,"2020",Aug_2020
