"OBJECT_ID","KODE_DESA","DESA","KODE","PROVINSI","KAB_KOTA","KECAMATAN","DESA_KELUR","JUMLAH_PEN","Nama_provinsi","nama_kota","nama_kecamatan","nama_kelurahan","POSITIF","Meninggal","Month","Year","Month_Year","geometry"
25503,"3173071001","PALMERAH",317307,"DKI JAKARTA","JAKARTA BARAT","PAL MERAH","PALMERAH",77404,"DKI JAKARTA","JAKARTA BARAT","PALMERAH","PALMERAH",5472,120,"Oct","2021","Oct_2021",c(-3629930.72738034, 685325.839478009)
25508,"3173071006","KOTA BAMBU SELATAN",317307,"DKI JAKARTA","JAKARTA BARAT","PAL MERAH","KOTA BAMBU SELATAN",26713,"DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU SELATAN",1759,35,"Oct","2021","Oct_2021",c(-3628231.96396414, 687245.807617208)
25596,"3175031004","RAWA BUNGA",317503,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","RAWA BUNGA",26604,"DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","RAWA BUNGA",1330,16,"Oct","2021","Oct_2021",c(-3618980.95206938, 683526.969765867)
25509,"3173081001","KEMBANGAN UTARA",317308,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN UTARA",66547,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN UTARA",3602,64,"Oct","2021","Oct_2021",c(-3636339.954742, 688664.043926495)
25510,"3173081002","MERUYA UTARA",317308,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA UTARA",53207,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA UTARA",3781,59,"Oct","2021","Oct_2021",c(-3636648.11908334, 685392.573721702)
25512,"3173081004","SRENGSENG",317308,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","SRENGSENG",54909,"DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","SRENGSENG",3824,66,"Oct","2021","Oct_2021",c(-3634329.47410269, 684172.041372524)
25518,"3174011004","KEBON BARU",317401,"DKI JAKARTA","JAKARTA SELATAN","TEBET","KEBON BARU",43498,"DKI JAKARTA","JAKARTA SELATAN","TEBET","KEBON BARU",2676,57,"Oct","2021","Oct_2021",c(-3620179.57832158, 681706.593817433)
25520,"3174011006","MANGGARAI SELATAN",317401,"DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI SELATAN",28306,"DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI SELATAN",1977,40,"Oct","2021","Oct_2021",c(-3622016.34327947, 683384.844951489)
25522,"3174021001","SETIA BUDI",317402,"DKI JAKARTA","JAKARTA SELATAN","SETIABUDI","SETIA BUDI",3632,"DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","SETIA BUDI",645,7,"Oct","2021","Oct_2021",c(-3625099.42830483, 684816.694310245)
25523,"3174021002","KARET SEMANGGI",317402,"DKI JAKARTA","JAKARTA SELATAN","SETIABUDI","KARET SEMANGGI",3275,"DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET SEMANGGI",412,6,"Oct","2021","Oct_2021",c(-3626004.50155834, 682780.229141707)
25524,"3174021003","KARET KUNINGAN",317402,"DKI JAKARTA","JAKARTA SELATAN","SETIABUDI","KARET KUNINGAN",19490,"DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET KUNINGAN",2989,44,"Oct","2021","Oct_2021",c(-3624691.77551674, 683150.065577883)
25526,"3174021005","MENTENG ATAS",317402,"DKI JAKARTA","JAKARTA SELATAN","SETIABUDI","MENTENG ATAS",34110,"DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","MENTENG ATAS",2590,50,"Oct","2021","Oct_2021",c(-3623280.91622409, 683695.293383507)
25527,"3174021006","PASAR MANGGIS",317402,"DKI JAKARTA","JAKARTA SELATAN","SETIABUDI","PASAR MANGGIS",32972,"DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","PASAR MANGGIS",2023,49,"Oct","2021","Oct_2021",c(-3623007.0752385, 684567.336681459)
